method,metoda,AUC-PR,rank,dataset,folder
metoda10,run10_ISOT_pr_curve.csv,0.8163095238095237,10,ISOT,results_1_few_shot
metoda17,run17_ISOT_pr_curve.csv,0.7684523809523809,11,ISOT,results_1_few_shot
metoda7,run7_ISOT_pr_curve.csv,0.7684523809523809,12,ISOT,results_1_few_shot
metoda1-1,run1-1_ISOT_pr_curve.csv,0.7329761904761904,13,ISOT,results_1_few_shot
metoda1-2,run1-2_ISOT_pr_curve.csv,0.7329761904761904,14,ISOT,results_1_few_shot
metoda1-4,run1-4_ISOT_pr_curve.csv,0.7329761904761904,15,ISOT,results_1_few_shot
metoda1-5,run1-5_ISOT_pr_curve.csv,0.6851190476190476,16,ISOT,results_1_few_shot
metoda1-3,run1-3_ISOT_pr_curve.csv,0.6851190476190476,17,ISOT,results_1_few_shot
metoda15,run15_ISOT_pr_curve.csv,0.6580952380952381,18,ISOT,results_1_few_shot
metoda20,run20_ISOT_pr_curve.csv,0.6580952380952381,19,ISOT,results_1_few_shot
metoda2,run2_ISOT_pr_curve.csv,0.6580952380952381,20,ISOT,results_1_few_shot
metoda3,run3_ISOT_pr_curve.csv,0.6580952380952381,21,ISOT,results_1_few_shot
metoda4,run4_ISOT_pr_curve.csv,0.6580952380952381,22,ISOT,results_1_few_shot
metoda6,run6_ISOT_pr_curve.csv,0.6580952380952381,23,ISOT,results_1_few_shot
metoda8,run8_ISOT_pr_curve.csv,0.6580952380952381,24,ISOT,results_1_few_shot
metoda16,run16_ISOT_pr_curve.csv,0.47555555555555556,25,ISOT,results_1_few_shot
metoda9,run9_WELFake_pr_curve.csv,1.0,1,WELFake,results_1_few_shot
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,1.0,2,WELFake,results_1_few_shot
metoda13,run13_WELFake_pr_curve.csv,0.9633333333333334,3,WELFake,results_1_few_shot
metoda19,run19_WELFake_pr_curve.csv,0.9380952380952381,4,WELFake,results_1_few_shot
metoda5,run5_WELFake_pr_curve.csv,0.8647619047619046,5,WELFake,results_1_few_shot
metoda12-rf,run12-rf_WELFake_pr_curve.csv,0.8647619047619046,6,WELFake,results_1_few_shot
metoda8,run8_WELFake_pr_curve.csv,0.8347619047619046,7,WELFake,results_1_few_shot
metoda6,run6_WELFake_pr_curve.csv,0.8347619047619046,8,WELFake,results_1_few_shot
metoda4,run4_WELFake_pr_curve.csv,0.8347619047619046,9,WELFake,results_1_few_shot
metoda3,run3_WELFake_pr_curve.csv,0.8347619047619046,10,WELFake,results_1_few_shot
metoda2,run2_WELFake_pr_curve.csv,0.8347619047619046,11,WELFake,results_1_few_shot
metoda15,run15_WELFake_pr_curve.csv,0.8347619047619046,12,WELFake,results_1_few_shot
metoda20,run20_WELFake_pr_curve.csv,0.8347619047619046,13,WELFake,results_1_few_shot
metoda1-1,run1-1_WELFake_pr_curve.csv,0.8064285714285713,14,WELFake,results_1_few_shot
metoda1-5,run1-5_WELFake_pr_curve.csv,0.8064285714285713,15,WELFake,results_1_few_shot
metoda1-3,run1-3_WELFake_pr_curve.csv,0.7879761904761904,16,WELFake,results_1_few_shot
metoda7,run7_WELFake_pr_curve.csv,0.7766666666666666,17,WELFake,results_1_few_shot
metoda1-2,run1-2_WELFake_pr_curve.csv,0.7684523809523809,18,WELFake,results_1_few_shot
metoda1-4,run1-4_WELFake_pr_curve.csv,0.7422222222222221,19,WELFake,results_1_few_shot
metoda18,run18_WELFake_pr_curve.csv,0.7167857142857144,20,WELFake,results_1_few_shot
metoda10,run10_WELFake_pr_curve.csv,0.6884126984126984,21,WELFake,results_1_few_shot
metoda17,run17_WELFake_pr_curve.csv,0.6746031746031746,22,WELFake,results_1_few_shot
metoda11,run11_WELFake_pr_curve.csv,0.6634920634920635,23,WELFake,results_1_few_shot
metoda14,run14_WELFake_pr_curve.csv,0.6424603174603174,24,WELFake,results_1_few_shot
metoda16,run16_WELFake_pr_curve.csv,0.37579365079365074,25,WELFake,results_1_few_shot
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,1.0,1,BuzzFeed,results_1_one_shot
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,1.0,2,BuzzFeed,results_1_one_shot
metoda8,run8_BuzzFeed_pr_curve.csv,1.0,3,BuzzFeed,results_1_one_shot
metoda7,run7_BuzzFeed_pr_curve.csv,1.0,4,BuzzFeed,results_1_one_shot
metoda6,run6_BuzzFeed_pr_curve.csv,1.0,5,BuzzFeed,results_1_one_shot
metoda5,run5_BuzzFeed_pr_curve.csv,1.0,6,BuzzFeed,results_1_one_shot
metoda4,run4_BuzzFeed_pr_curve.csv,1.0,7,BuzzFeed,results_1_one_shot
metoda3,run3_BuzzFeed_pr_curve.csv,1.0,8,BuzzFeed,results_1_one_shot
metoda2,run2_BuzzFeed_pr_curve.csv,1.0,9,BuzzFeed,results_1_one_shot
metoda20,run20_BuzzFeed_pr_curve.csv,1.0,10,BuzzFeed,results_1_one_shot
metoda17,run17_BuzzFeed_pr_curve.csv,1.0,11,BuzzFeed,results_1_one_shot
metoda16,run16_BuzzFeed_pr_curve.csv,1.0,12,BuzzFeed,results_1_one_shot
metoda15,run15_BuzzFeed_pr_curve.csv,1.0,13,BuzzFeed,results_1_one_shot
metoda14,run14_BuzzFeed_pr_curve.csv,1.0,14,BuzzFeed,results_1_one_shot
metoda13,run13_BuzzFeed_pr_curve.csv,1.0,15,BuzzFeed,results_1_one_shot
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,1.0,16,BuzzFeed,results_1_one_shot
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,1.0,17,BuzzFeed,results_1_one_shot
metoda11,run11_BuzzFeed_pr_curve.csv,1.0,18,BuzzFeed,results_1_one_shot
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,1.0,19,BuzzFeed,results_1_one_shot
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,1.0,20,BuzzFeed,results_1_one_shot
metoda9,run9_BuzzFeed_pr_curve.csv,1.0,21,BuzzFeed,results_1_one_shot
metoda18,run18_BuzzFeed_pr_curve.csv,0.25,22,BuzzFeed,results_1_one_shot
metoda19,run19_BuzzFeed_pr_curve.csv,0.25,23,BuzzFeed,results_1_one_shot
metoda10,run10_BuzzFeed_pr_curve.csv,0.25,24,BuzzFeed,results_1_one_shot
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.25,25,BuzzFeed,results_1_one_shot
metoda1-1,run1-1_ISOT_pr_curve.csv,0.25,1,ISOT,results_1_one_shot
metoda17,run17_ISOT_pr_curve.csv,0.25,2,ISOT,results_1_one_shot
metoda8,run8_ISOT_pr_curve.csv,0.25,3,ISOT,results_1_one_shot
metoda7,run7_ISOT_pr_curve.csv,0.25,4,ISOT,results_1_one_shot
metoda6,run6_ISOT_pr_curve.csv,0.25,5,ISOT,results_1_one_shot
metoda5,run5_ISOT_pr_curve.csv,0.25,6,ISOT,results_1_one_shot
metoda4,run4_ISOT_pr_curve.csv,0.25,7,ISOT,results_1_one_shot
metoda3,run3_ISOT_pr_curve.csv,0.25,8,ISOT,results_1_one_shot
metoda2,run2_ISOT_pr_curve.csv,0.25,9,ISOT,results_1_one_shot
metoda20,run20_ISOT_pr_curve.csv,0.25,10,ISOT,results_1_one_shot
metoda19,run19_ISOT_pr_curve.csv,0.25,11,ISOT,results_1_one_shot
metoda18,run18_ISOT_pr_curve.csv,0.25,12,ISOT,results_1_one_shot
metoda16,run16_ISOT_pr_curve.csv,0.25,13,ISOT,results_1_one_shot
metoda1-2,run1-2_ISOT_pr_curve.csv,0.25,14,ISOT,results_1_one_shot
metoda15,run15_ISOT_pr_curve.csv,0.25,15,ISOT,results_1_one_shot
metoda14,run14_ISOT_pr_curve.csv,0.25,16,ISOT,results_1_one_shot
metoda13,run13_ISOT_pr_curve.csv,0.25,17,ISOT,results_1_one_shot
metoda12-rf,run12-rf_ISOT_pr_curve.csv,0.25,18,ISOT,results_1_one_shot
metoda12-catboost,run12-catboost_ISOT_pr_curve.csv,0.25,19,ISOT,results_1_one_shot
metoda11,run11_ISOT_pr_curve.csv,0.25,20,ISOT,results_1_one_shot
