dataset,method,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
ISOT,run11,0.7666666666666666,0.8055555555555555,0.6666666666666666,0.7222222222222222,0.8266666666666667,0.5421553935666185,0.49765305081429756,0.5333333333333333,157.61635692914328,0.26666666666666666,0.273038237651904
ISOT,run12-catboost,0.8333333333333334,0.8888888888888888,0.7333333333333334,0.7962962962962963,0.8533333333333334,0.6782381570545728,0.657673026858069,0.6666666666666666,38.89571682612101,,
ISOT,run12-rf,0.8666666666666667,0.9166666666666666,0.7999999999999999,0.8518518518518517,0.9400000000000001,0.7415816237971963,0.30940670577629775,0.7333333333333334,38.854805866877236,0.6333333333333333,0.2299659828522119
ISOT,run13,0.9,0.9047619047619048,0.9333333333333332,0.9074074074074074,0.8933333333333334,0.8237167505452344,0.3508862425468235,0.7999999999999999,1151.1284175713856,,
ISOT,run14,0.8666666666666667,0.8380952380952381,0.9333333333333332,0.8777777777777778,0.9866666666666667,0.7515512235693258,0.2898023732459186,0.7333333333333334,1518.0247634251912,,
ISOT,run15,0.7666666666666666,0.7833333333333333,0.7333333333333334,0.7555555555555555,0.8266666666666667,0.5360827634879544,0.5729714274916775,0.5333333333333333,390.92916798591614,0.7999999999999999,0.1632993161855452
ISOT,run16,0.7666666666666666,0.7222222222222222,0.7333333333333334,0.7196969696969697,0.8533333333333334,0.5327595635639112,0.37014416101437425,0.5333333333333333,1346.6141431331635,0.7666666666666666,0.13333333333333333
ISOT,run17,0.7000000000000001,0.5238095238095238,0.6,0.5555555555555555,0.7733333333333333,0.4060726300786641,2.8816926711423583,0.39999999999999997,245.80228598912558,,
ISOT,run18,0.7999999999999999,0.8666666666666667,0.7333333333333334,0.7925925925925926,0.8533333333333334,0.610997720618484,0.5258175901219033,0.6,189.4254970550537,0.7999999999999999,0.25805524622579806
ISOT,run19,0.9,0.9444444444444445,0.8666666666666667,0.8863636363636364,0.9466666666666667,0.8237167505452344,0.4553016150614677,0.8000000000000002,64.16632358233134,0.9,0.14831632475943926
ISOT,run2,0.7666666666666666,0.7833333333333333,0.7333333333333334,0.7555555555555555,0.8266666666666667,0.5360827634879544,0.5729714274916775,0.5333333333333333,390.92916798591614,0.7999999999999999,0.1632993161855452
ISOT,run20,0.7666666666666666,0.7833333333333333,0.7333333333333334,0.7555555555555555,0.8266666666666667,0.5360827634879544,0.5729714274916775,0.5333333333333333,390.92916798591614,0.7999999999999999,0.1632993161855452
ISOT,run3,0.7333333333333334,0.7277777777777779,0.7333333333333334,0.7252525252525253,0.8133333333333334,0.4749149571305297,0.5390828045677544,0.4666666666666666,667.6055993239085,0.6333333333333333,0.1632993161855452
ISOT,run4,0.6,0.6166666666666667,0.7333333333333334,0.6444444444444444,0.66,0.20274943015462102,3.0574085618064495,0.19999999999999996,995.3324581782023,0.7,0.2449489742783178
ISOT,run5,0.7999999999999999,0.8333333333333334,0.7333333333333334,0.7777777777777777,0.9333333333333332,0.605498860309242,0.7568526989494013,0.6,42.86566495895386,0.7666666666666666,0.18705891343171857
ISOT,run6,0.7666666666666666,0.7833333333333333,0.7333333333333334,0.7555555555555555,0.8266666666666667,0.5360827634879544,0.5729714274916775,0.5333333333333333,390.92916798591614,0.7999999999999999,0.1632993161855452
ISOT,run7,0.7666666666666666,0.7999999999999999,0.7333333333333334,0.762962962962963,0.84,0.5388321936425754,0.5245536065196813,0.5333333333333333,4.27988616625468,0.6,0.305409255338946
ISOT,run8,0.7666666666666666,0.7833333333333333,0.7333333333333334,0.7555555555555555,0.8266666666666667,0.5360827634879544,0.5729714274916775,0.5333333333333333,390.92916798591614,0.7999999999999999,0.1632993161855452
ISOT,run9,0.8666666666666667,0.8777777777777778,0.8666666666666667,0.8659932659932661,0.9199999999999999,0.7443310539518174,0.4016957049832657,0.7333333333333334,2032.0575825373332,0.7000000000000001,0.2299659828522119
WELFake,run1-1,0.5666666666666667,0.5582010582010583,0.7999999999999999,0.6522366522366523,0.6533333333333334,0.1650587478510274,0.7348733167836842,0.13333333333333328,266.1270254453023,,
WELFake,run1-2,0.6333333333333333,0.5945767195767195,0.9333333333333332,0.7246642246642248,0.6266666666666667,0.27377344579154794,0.7651900390325949,0.26666666666666666,266.2218174934387,,
WELFake,run1-3,0.6333333333333333,0.5899470899470899,1.0,0.7380952380952381,0.64,0.3293290013471035,0.7797984096386266,0.2666666666666666,266.28615164756775,,
WELFake,run1-4,0.6,0.5740740740740741,0.9333333333333332,0.7027417027417027,0.6133333333333334,0.24719387459906547,0.780141931092126,0.19999999999999996,266.34911783536273,,
WELFake,run1-5,0.6,0.4518518518518519,0.6,0.5047619047619047,0.68,0.19999999999999998,0.5848266517445194,0.19999999999999998,266.4182180563609,,
WELFake,run10,0.7000000000000001,0.7222222222222222,0.7333333333333334,0.7205387205387206,0.7733333333333334,0.40824829046386296,0.5083330119478502,0.4000000000000001,24.996123631795246,0.5333333333333333,0.20000000000000004
WELFake,run11,0.5666666666666668,0.5814814814814815,0.6666666666666666,0.6052910052910053,0.6533333333333333,0.08888888888888889,0.6110849491687188,0.13333333333333336,352.1762225627899,0.39999999999999997,0.2880212290780099
