metric,method,test,mean,std,p_value,normal_distribution
Recall,metoda10,Shapiro-Wilk,0.5530864197530865,0.3106600688899082,0.6168073639216441,True
Recall,metoda11,Shapiro-Wilk,0.5851851851851851,0.30343257997428214,0.6060724140635824,True
Recall,metoda12-catboost,Shapiro-Wilk,0.6382716049382716,0.2968102538313903,0.499971025879561,True
Recall,metoda12-rf,Shapiro-Wilk,0.41358024691358025,0.3047757851695698,0.6753386216071802,True
Recall,metoda13,Shapiro-Wilk,0.6419753086419753,0.29790202759637197,0.4569090325371137,True
Recall,metoda14,Shapiro-Wilk,0.43086419753086425,0.3315912409956187,0.6030155881968888,True
Recall,metoda15,Shapiro-Wilk,0.6152777777777778,0.31362759527585976,0.6152321445363331,True
Recall,metoda16,Shapiro-Wilk,0.33827160493827163,0.25218448138319416,0.02284870009392421,False
Recall,metoda17,Shapiro-Wilk,0.6296296296296295,0.4566232594791834,0.0012734558808839408,False
Recall,metoda18,Shapiro-Wilk,0.5950617283950618,0.3410268971974232,0.2959113806272866,True
Recall,metoda19,Shapiro-Wilk,0.4901234567901235,0.3435649641934503,0.47146005428457405,True
Recall,metoda20,Shapiro-Wilk,0.6152777777777778,0.31362759527585976,0.6152321445363331,True
Recall,metoda2,Shapiro-Wilk,0.6152777777777778,0.31362759527585976,0.6152321445363331,True
Recall,metoda3,Shapiro-Wilk,0.4679012345679012,0.3510690881417525,0.3775288071089028,True
Recall,metoda4,Shapiro-Wilk,0.6819444444444445,0.35542260969370176,0.054978443328311484,True
Recall,metoda5,Shapiro-Wilk,0.48024691358024696,0.3606417758302733,0.38964483344403744,True
Recall,metoda6,Shapiro-Wilk,0.6152777777777778,0.31362759527585976,0.6152321445363331,True
Recall,metoda7,Shapiro-Wilk,0.4962962962962963,0.3118597694077168,0.42844001209919913,True
Recall,metoda8,Shapiro-Wilk,0.6152777777777778,0.31362759527585976,0.6152321445363331,True
Recall,metoda9,Shapiro-Wilk,0.4395061728395062,0.3003478144296674,0.4812884887909955,True
F1-Score,metoda1-1,Shapiro-Wilk,0.4629629629629629,0.3559700516063164,0.08569719480893982,True
F1-Score,metoda1-2,Shapiro-Wilk,0.39746837524615297,0.31970807570603144,0.011019839025192747,False
F1-Score,metoda1-3,Shapiro-Wilk,0.5964886964886964,0.22045628462400038,0.00021581040920722042,False
F1-Score,metoda1-4,Shapiro-Wilk,0.5171717171717172,0.27646521849787475,2.0351718318680096e-05,False
F1-Score,metoda1-5,Shapiro-Wilk,0.3009259259259259,0.3378043767954574,0.001507462887662791,False
F1-Score,metoda10,Shapiro-Wilk,0.5813169441218222,0.2995803797332558,0.5871632748839393,True
F1-Score,metoda11,Shapiro-Wilk,0.5728345079222272,0.29070752628944785,0.4553281318625827,True
F1-Score,metoda12-catboost,Shapiro-Wilk,0.636105999263894,0.28213535231571135,0.22560001706725247,True
F1-Score,metoda12-rf,Shapiro-Wilk,0.4135152696556205,0.3019905971149307,0.6246114284646933,True
F1-Score,metoda13,Shapiro-Wilk,0.6397511941116593,0.28530817309164735,0.2726161842231918,True
F1-Score,metoda14,Shapiro-Wilk,0.4389663834108279,0.31094513641694155,0.7693482803996781,True
F1-Score,metoda15,Shapiro-Wilk,0.5881774018978579,0.305182794490136,0.5601168222990938,True
F1-Score,metoda16,Shapiro-Wilk,0.3527101076120684,0.26307786779935655,0.04096776335742475,False
F1-Score,metoda17,Shapiro-Wilk,0.44134384134384136,0.31297696451915225,0.0007621257896966414,False
F1-Score,metoda18,Shapiro-Wilk,0.5155003984272277,0.2455109391244828,0.19630044414015596,True
F1-Score,metoda19,Shapiro-Wilk,0.47914862914862916,0.32441503114260845,0.6631458085337385,True
F1-Score,metoda20,Shapiro-Wilk,0.5881774018978579,0.305182794490136,0.5601168222990938,True
F1-Score,metoda2,Shapiro-Wilk,0.5881774018978579,0.305182794490136,0.5601168222990938,True
F1-Score,metoda3,Shapiro-Wilk,0.4673009332980638,0.34134752788276596,0.27316273719544737,True
F1-Score,metoda4,Shapiro-Wilk,0.5493815486283204,0.26742641399423495,0.5387385806495775,True
F1-Score,metoda5,Shapiro-Wilk,0.46314102564102566,0.32743513951052616,0.7245287353375852,True
F1-Score,metoda6,Shapiro-Wilk,0.5881774018978579,0.305182794490136,0.5601168222990938,True
F1-Score,metoda7,Shapiro-Wilk,0.47590807590807593,0.3004307371499218,0.3113464604718236,True
F1-Score,metoda8,Shapiro-Wilk,0.5881774018978579,0.305182794490136,0.5601168222990938,True
F1-Score,metoda9,Shapiro-Wilk,0.4353088135982872,0.29689796959230547,0.5235737464192926,True
ROC-AUC,metoda1-1,Shapiro-Wilk,0.734333983105913,0.25692573425141463,0.14338287664112587,True
ROC-AUC,metoda1-2,Shapiro-Wilk,0.7484080571799869,0.2440739951077427,0.17969379454425333,True
ROC-AUC,metoda1-3,Shapiro-Wilk,0.5528525016244316,0.3503283923204784,0.3034578905033728,True
ROC-AUC,metoda1-4,Shapiro-Wilk,0.5712800519818064,0.3470854605062056,0.09911390884438134,True
ROC-AUC,metoda1-5,Shapiro-Wilk,0.4963872644574399,0.3461450419397201,0.5576432272517242,True
