metric,method,test,mean,std,p_value,normal_distribution
Recall,metoda1-3,Shapiro-Wilk,0.685100593883264,0.3109821847835047,0.1708430348736063,True
Recall,metoda1-4,Shapiro-Wilk,0.541966878580959,0.345980960577623,0.3264862227720654,True
Recall,metoda1-5,Shapiro-Wilk,0.6964550139968083,0.3112019989444735,0.13043470263529167,True
Recall,metoda10,Shapiro-Wilk,0.786740967480313,0.3115816705293489,0.0024827097118616612,False
Recall,metoda11,Shapiro-Wilk,0.6987677576328388,0.32246273762267424,0.0893226370872806,True
Recall,metoda12-catboost,Shapiro-Wilk,0.7153912565732674,0.31665211085451966,0.07019337514134187,True
Recall,metoda12-rf,Shapiro-Wilk,0.7366193129790963,0.30132104934820714,0.026003034844620833,False
Recall,metoda13,Shapiro-Wilk,0.7974413311357036,0.30680614583480736,0.0011515869022719275,False
Recall,metoda14,Shapiro-Wilk,0.7923920152787588,0.3086183429021301,0.0017036904416284958,False
Recall,metoda15,Shapiro-Wilk,0.799134683305863,0.1808592090557687,0.016050539798394152,False
Recall,metoda16,Shapiro-Wilk,0.6145095884676766,0.409385611929864,0.023657243865170215,False
Recall,metoda17,Shapiro-Wilk,0.5971430813907858,0.4345562997370833,0.006311077821684196,False
Recall,metoda18,Shapiro-Wilk,0.7199958140386679,0.2925825601005266,0.03529653713511531,False
Recall,metoda19,Shapiro-Wilk,0.6560500222379196,0.37932842913331355,0.020393345877730458,False
Recall,metoda20,Shapiro-Wilk,0.799134683305863,0.1808592090557687,0.016050539798394152,False
Recall,metoda2,Shapiro-Wilk,0.799134683305863,0.1808592090557687,0.016050539798394152,False
Recall,metoda3,Shapiro-Wilk,0.8167438453287288,0.18026800255306105,0.008912723557689073,False
Recall,metoda4,Shapiro-Wilk,0.8116140805274312,0.19058276799144128,0.0035110462909812516,False
Recall,metoda5,Shapiro-Wilk,0.7217748476048453,0.30740882397570307,0.026242305756074072,False
Recall,metoda6,Shapiro-Wilk,0.799134683305863,0.1808592090557687,0.016050539798394152,False
Recall,metoda7,Shapiro-Wilk,0.7145279020485048,0.2856438626577567,0.0318217345863677,False
Recall,metoda8,Shapiro-Wilk,0.799134683305863,0.1808592090557687,0.016050539798394152,False
Recall,metoda9,Shapiro-Wilk,0.761196138450671,0.3028021096951875,0.008561339080036142,False
F1-Score,metoda1-1,Shapiro-Wilk,0.5839242759445029,0.35703306290884096,0.16775220658160844,True
F1-Score,metoda1-2,Shapiro-Wilk,0.6308259160610783,0.37427706174988734,0.05292011157438081,True
F1-Score,metoda1-3,Shapiro-Wilk,0.7020929593571437,0.30613462159812005,0.10007335713890646,True
F1-Score,metoda1-4,Shapiro-Wilk,0.576867265358336,0.35108875653190597,0.14233898962548258,True
F1-Score,metoda1-5,Shapiro-Wilk,0.711245277956439,0.3027454130152744,0.08060697830953267,True
F1-Score,metoda10,Shapiro-Wilk,0.7715221609539964,0.30568290218279726,0.0050428895029923275,False
